User-ID;ISBN;Book-Rating
8;2005018;5
190;2740230;7
254;60013117;0
387;20437501;0
433;20199090;0
446;26329859;10
472;30096189;10
501;20442408;0
507;20427859;9
595;60083298;9
643;7100221;7
651;60006048;5
741;20437501;0
741;60085444;0
882;20418809;10
882;20435207;0
901;6276199;0
929;29087104;8
929;30615321;8
1025;6642004;5
1025;6643094;0
1211;6513409;0
1231;7108648;0
1267;60094850;5
1279;20518609;0
1424;7119860;0
1424;60000805;7
1485;6550789;0
1485;28626958;0
1585;28606353;5
1596;60002492;5
1674;28621239;0
1903;24031216;0
1927;60094850;0
2033;20083513;0
2033;30020786;7
2132;60001445;0
2132;60001453;0
2132;60002050;8
2132;60009241;0
2160;6476333;0
2179;7103999;0
2276;20960808;10
2276;30589533;0
2276;30632366;9
2288;20519109;4
2288;20532105;0
2313;20442602;9
2439;60004533;8
2555;29281113;0
2562;7154615;0
2766;20869002;0
2766;25003305;0
2766;26890380;9
2790;20518501;6
2855;20519001;5
2907;60092645;0
2977;6329527;5
2977;30056284;0
3100;60011912;0
3142;60092963;8
3154;25473905;0
3305;28642333;7
3346;20427859;5
3346;30181011;10
3363;27357813;0
3363;28604199;0
3363;30442818;0
3363;60084456;0
3363;60090367;0
3363;60096195;0
3363;60097469;0
3416;60086246;8
3437;60009225;0
3460;20519001;0
3583;43510744;6
3728;60008776;7
3777;6513409;4
3827;7134495;7
3874;7101953;0
3893;20532105;9
3917;29023106;0
4035;60008776;7
4131;6548180;0
4197;28625757;7
4221;60086246;9
4271;2258579;6
4292;28604032;5
4622;20532105;0
4622;60012218;0
4909;6498000;0
5007;7106130;10
5100;28600819;0
5331;7155093;9
5427;6751504;10
5490;28620666;0
5499;60005556;10
5499;60083956;7
5555;20519303;0
5581;6514588;7
5582;20199856;8
5600;20545509;0
5630;2713276;0
5694;20418809;0
5730;6479383;0
5730;6479650;0
5733;2245663;0
5770;6550789;5
5903;2243776;0
5903;6551076;0
5903;60085444;0
5916;7170866;5
5971;7137508;8
6017;2261529;0
6017;7110928;6
6120;60008776;0
6242;2244098;5
6242;6385370;7
6242;6480608;7
6251;20223722;10
6251;20442408;0
6251;20446500;8
6251;23376627;0
6251;24103411;7
6251;26098407;0
6251;27582000;10
6251;28610105;10
6251;60005424;0
6251;60008776;0
6251;60083948;0
6251;60094745;0
6323;20447019;0
6330;44402449;0
6415;60008024;8
6516;6727492;0
6532;28617363;9
6543;2712172;7
6543;60002433;6
6543;60083948;0
6543;60084022;0
6543;60093595;7
6563;60085444;6
6563;60090383;0
6564;6510019;8
6575;1714600;0
6575;28604199;0
6575;28606736;0
6575;30640075;0
6575;60002093;0
6575;60081961;8
6575;60083298;0
6575;60085444;0
6575;60096772;0
6866;60001445;0
6866;60002050;0
7105;6372570;5
7105;6374093;0
7125;60086386;8
7125;60090367;0
7125;60096195;8
7128;60093412;10
7134;60094850;10
7196;60083948;0
7210;20631502;0
7248;23672609;5
7259;30914566;0
7286;60097825;8
7312;60009640;0
7346;6386369;0
7346;20198906;8
7346;20868308;10
7346;26885522;0
7346;28604199;8
7346;30628822;0
7346;60085444;0
7346;60096195;8
7454;6392466;0
7482;60092165;7
7749;60090375;0
7887;60002492;0
7915;28604695;7
7930;6480764;6
7970;20198817;9
8019;48231398;9
8066;6280803;0
